id,kuntanro,kuntanimi,asuntolkm,talotyyppi,rahmuoto,rahmuoto2,valmvuosi
1767,543,Nurmijarvi,1,AP,VR,VO,2020
692,91,Helsinki,2,AP,VR,VO,2020
1553,186,Jarvenpaa,2,AP,VR,VO,2020
1056,92,Vantaa,1,AP,VR,VO,2020
900,91,Helsinki,1,AP,VR,VO,2020
185,49,Espoo,1,AP,VR,VO,2020
696,91,Helsinki,1,AP,VR,VO,2020
1299,92,Vantaa,1,AP,VR,VO,2020
1537,186,Jarvenpaa,1,AP,VR,VO,2020
1088,92,Vantaa,2,AP,VR,VO,2020
816,91,Helsinki,1,AP,VR,VO,2020
1854,543,Nurmijarvi,37,AK,ARA,PK,2020
2152,927,Vihti,6,AP,VR,VV,2020
334,49,Espoo,1,AP,VR,VO,2020
1516,186,Jarvenpaa,3,AP,VR,VO,2020
1038,92,Vantaa,2,AP,VR,VO,2020
34,49,Espoo,20,AK,VR,VO,2020
20,49,Espoo,80,AK,VR,VO,2020
1490,186,Jarvenpaa,2,AP,VR,VO,2020
1467,186,Jarvenpaa,1,AP,VR,VO,2020
1200,92,Vantaa,1,AP,VR,VO,2020
753,91,Helsinki,14,AK,ARA,LK,2020
1173,92,Vantaa,1,AP,VR,VO,2020
1560,186,Jarvenpaa,47,AK,VR,VO,2020
1835,543,Nurmijarvi,6,AP,VR,VO,2020
1143,92,Vantaa,2,AP,VR,VO,2020
866,91,Helsinki,1,AP,VR,VO,2020
853,91,Helsinki,3,AP,VR,VO,2020
1118,92,Vantaa,1,AP,VR,VO,2020
1036,92,Vantaa,2,AP,VR,VO,2020
598,91,Helsinki,56,AK,VR,VV,2020
1609,245,Kerava,1,AP,VR,VO,2020
501,49,Espoo,1,AP,VR,VO,2020
217,49,Espoo,1,AP,VR,VO,2020
1774,543,Nurmijarvi,1,AP,VR,VO,2020
746,91,Helsinki,1,AP,VR,VO,2020
613,91,Helsinki,2,AP,VR,VO,2020
49,49,Espoo,34,AP,VR,VV,2020
828,91,Helsinki,9,AP,VR,VO,2020
1779,543,Nurmijarvi,1,AP,VR,VO,2020
520,91,Helsinki,6,AP,VR,VO,2020
100,49,Espoo,1,AP,VR,VO,2020
1943,753,Sipoo,1,AP,VR,VO,2020
1222,92,Vantaa,34,AK,VR,VO,2020
852,91,Helsinki,1,AP,VR,VO,2020
639,91,Helsinki,4,AP,VR,VO,2020
988,91,Helsinki,89,AK,VR,VV,2020
1599,245,Kerava,2,AP,VR,VO,2020
2024,858,Tuusula,2,AP,VR,VO,2020
509,91,Helsinki,27,AK,VR,VO,2020
1749,543,Nurmijarvi,1,AP,VR,VO,2020
965,91,Helsinki,3,AK,VR,VO,2020
